match_number,red_agent,blue_agent,elo_red_after,elo_blue_after
27,joAgent2.py,baselineTeam.py,1694.98,1228.16
28,baselineTeam.py,joAgent2.py,1226.12,1697.02
29,joAgent.py,baselineTeam.py,1538.82,1221.47
30,baselineTeam.py,joAgent.py,1217.04,1543.26
31,priya_heu.py,_joMcts_jia_.py,1516.59,1522.28
32,_joMcts_jia_.py,priya_heu.py,1538.02,1500.85
33,joAgent.py,joMcts.py,1529.27,1601.17
34,joMcts.py,joAgent.py,1581.91,1548.53
35,joMcts.py,joAgent2.py,1571.02,1707.91
36,joAgent2.py,joMcts.py,1717.91,1561.02
37,joAgent2.py,_joMcts_jia_.py,1726.29,1529.63
38,_joMcts_jia_.py,joAgent2.py,1521.83,1734.09
39,joMcts.py,HeuristicTeam.py,1560.02,1540.27
40,HeuristicTeam.py,joMcts.py,1557.18,1543.11
41,baselineTeam.py,_joMcts_jia_.py,1212.32,1526.55
42,_joMcts_jia_.py,baselineTeam.py,1531.05,1207.81
43,priya_heu_2.py,joMcts.py,1368.46,1552.01
44,joMcts.py,priya_heu_2.py,1544.26,1376.21
45,joMcts.py,baselineTeam.py,1548.3,1203.78
46,baselineTeam.py,joMcts.py,1199.91,1552.17
47,priya_heu_2.py,baselineTeam.py,1384.72,1191.4
48,baselineTeam.py,priya_heu_2.py,1183.48,1392.63
49,joAgent.py,joAgent2.py,1556.35,1726.28
50,joAgent2.py,joAgent.py,1703.02,1579.61
51,baselineTeam.py,priya_heu.py,1179.05,1505.29
52,priya_heu.py,baselineTeam.py,1509.53,1174.8
53,joAgent.py,_joMcts_jia_.py,1561.38,1549.28
54,_joMcts_jia_.py,joAgent.py,1533.83,1576.83
55,joAgent.py,priya_heu.py,1557.77,1528.59
56,priya_heu.py,joAgent.py,1513.93,1572.43
1,joAgent.py,_joMcts_jia_.py,1554.66,1551.6
2,_joMcts_jia_.py,joAgent.py,1551.74,1554.51
3,joAgent2.py,_joMcts_jia_.py,1712.47,1542.3
4,_joMcts_jia_.py,joAgent2.py,1565.57,1689.2
5,joAgent.py,baselineTeam.py,1557.75,1171.57
6,baselineTeam.py,joAgent.py,1168.44,1560.87
7,joAgent2.py,baselineTeam.py,1690.72,1166.92
8,baselineTeam.py,joAgent2.py,1165.43,1692.22
9,joMcts.py,_joMcts_jia_.py,1536.78,1580.95
10,_joMcts_jia_.py,joMcts.py,1594.93,1522.81
11,joAgent.py,priya_heu.py,1574.73,1500.08
12,priya_heu.py,joAgent.py,1519.47,1555.34
13,priya_heu_2.py,_joMcts_jia_.py,1385.02,1602.54
14,_joMcts_jia_.py,priya_heu_2.py,1609.65,1377.91
15,priya_heu.py,HeuristicTeam.py,1505.2,1571.45
16,HeuristicTeam.py,priya_heu.py,1552.44,1524.21
17,joMcts.py,priya_heu.py,1506.87,1540.15
18,priya_heu.py,joMcts.py,1522.62,1524.4
19,priya_heu_2.py,baselineTeam.py,1385.18,1158.15
20,baselineTeam.py,priya_heu_2.py,1151.33,1392.0
21,joAgent.py,joMcts.py,1537.92,1541.82
22,joMcts.py,joAgent.py,1557.64,1522.1
23,joAgent.py,HeuristicTeam.py,1507.49,1567.04
24,HeuristicTeam.py,joAgent.py,1580.33,1494.21
25,priya_heu_2.py,HeuristicTeam.py,1383.91,1588.41
26,HeuristicTeam.py,priya_heu_2.py,1579.95,1392.38
27,priya_heu_2.py,priya_heu.py,1382.11,1532.89
28,priya_heu.py,priya_heu_2.py,1510.35,1404.65
29,joAgent2.py,HeuristicTeam.py,1671.22,1600.95
30,HeuristicTeam.py,joAgent2.py,1620.14,1652.03
31,joAgent.py,joAgent2.py,1485.01,1661.22
32,joAgent2.py,joAgent.py,1669.74,1476.5
33,baselineTeam.py,HeuristicTeam.py,1149.32,1622.16
34,HeuristicTeam.py,baselineTeam.py,1624.13,1147.34
35,priya_heu_2.py,joMcts.py,1395.27,1567.02
36,joMcts.py,priya_heu_2.py,1575.7,1386.59
